"govguareatsleep" "govtakecarewhocant" "govhelpneedy" "improveblackpos" "equalOPP" "poortoodep" "richgetricher" "govwasteful" "age" "agesq.01" "black" "bornagain" "blackbornagain" "rel.catholic" "rel.nonchr" "ed.cat1" "ed.cat3" "ed.cat4" "ed.cat5" "income.1" "income.3" "income.4" "income.dk" "parent" "hispanic" "female" "unborn" "womentradrole" "peacethrustrength" "searchterrorists" "bandangerousbooks" "firegayteachers" "xratedOK" "bush" "gore" "novote" "other"
"1" 2 3 2 1 3 2 3 2 27.1836651767574 7.38951652442054 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 3 2 2 2 3 2 TRUE FALSE FALSE FALSE
"2" 4 4 4 4 4 4 4 4 -22.8163348232426 5.20585134766312 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 4 4 4 4 1 4 FALSE TRUE FALSE FALSE
"3" 3 4 4 3 4 2 4 2 26.1836651767574 6.85584322088539 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 1 1 1 1 1 1 2 FALSE TRUE FALSE FALSE
"4" 4 3 3 2 4 2 2 3 -1.81633482324258 0.0329907219012367 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 2 4 3 2 3 4 2 FALSE TRUE FALSE FALSE
"5" 4 4 4 4 4 1 4 1 -23.8163348232426 5.67217804412797 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 4 2 2 1 3 FALSE FALSE TRUE FALSE
"6" 1 2 2 1 4 1 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 3 1 1 2 1 2 FALSE FALSE TRUE FALSE
"7" 3 3 3 2 4 2 3 2 9.18366517675742 0.843397060787868 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 3 4 3 4 4 2 3 FALSE FALSE TRUE FALSE
"8" 3 3 2 2 3 2 3 4 -27.8163348232426 7.73748482998738 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 3 2 2 1 1 3 FALSE FALSE TRUE FALSE
"9" 1 1 1 1 4 1 1 1 0.183665176757415 0.000337328971533326 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 1 4 4 4 3 TRUE FALSE FALSE FALSE
"10" 3 3 3 2 3 3 1 2 4.18366517675742 0.175030543112127 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 2 4 2 4 4 3 2 TRUE FALSE FALSE FALSE
"11" 3 3 3 3 3 2 2 1 22.1836651767574 4.9211500067448 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 4 3 1 3 2 1 FALSE FALSE TRUE FALSE
"12" 4 3 3 2 4 2 3 3 -4.81633482324258 0.231970811295792 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 2 4 2 1 1 3 2 FALSE FALSE TRUE FALSE
